ID,raw-FT16
430,57
430,53
430,53
430,57
763,42
763,39
763,35
763,40
765,36
765,39
765,35
766,46
766,39
766,41
766,41
768,82
768,75
768,73
768,83
770,67
770,90
770,60
770,72
772,41
772,47
772,44
772,42
5837,56
5837,56
5837,56
5837,53
6680,104
6680,78
6680,95
6925,82
6925,71
6925,72
6925,77
6963,66
6963,58
6963,60
6963,73
6967,44
6967,45
6967,43
6967,36
6968,96
6968,91
6968,87
6970,52
6970,50
6970,52
6970,47
6975,46
6975,45
6975,51
6975,47
6979,37
6979,36
6979,36
6979,35
6982,50
6982,43
6982,40
6982,43
6984,50
6984,51
6984,45
6984,45
6986,42
6986,42
6986,50
6986,41
6987,48
6987,47
6987,50
6987,46
6989,62
6989,68
6989,60
6989,54
6990,66
6990,56
6990,63
6990,56
6992,49
6992,61
6992,53
6992,54
6994,80
6997,52
6997,64
6997,54
6997,54
7000,50
7000,56
7000,54
7000,56
7002,57
7002,61
7002,60
7002,58
7003,56
7003,53
7003,45
7003,50
7008,82
7008,138
7008,77
7008,83
7010,57
7010,57
7010,53
7010,50
7013,38
7013,41
7013,37
7013,39
7014,73
7014,77
7014,72
7025,52
7025,50
7025,56
7026,44
7026,47
7026,50
7026,41
7028,35
7028,38
7028,50
7028,38
7031,48
7031,49
7031,45
7031,47
7061,64
7061,64
7061,64
7061,64
7062,39
7062,39
7062,38
7062,37
7064,57
7064,71
7064,72
7068,49
7068,55
7068,52
7068,68
7071,45
7071,39
7071,50
7071,46
7072,57
7072,64
7072,68
7072,59
7077,46
7077,45
7077,42
7092,53
7092,55
7092,59
7092,50
7096,41
7096,40
7096,41
7096,39
7102,67
7102,75
7103,37
7103,37
7103,36
7103,37
7107,48
7107,53
7107,47
7107,55
7109,52
7109,44
7109,43
7109,44
7117,39
7117,34
7117,37
7117,36
7119,42
7119,39
7119,41
7119,42
7120,45
7120,40
7120,44
7120,42
7126,91
7126,97
7126,96
7126,105
7127,43
7127,48
7127,43
7127,48
7130,83
7130,74
7130,73
7130,83
7133,45
7133,48
7133,45
7133,47
7138,60
7138,77
7143,45
7143,44
7143,45
7143,44
7147,54
7147,48
7147,56
7148,75
7148,59
7148,66
7148,64
7160,67
7160,66
7160,72
7160,61
7161,41
7161,39
7161,38
7162,42
7162,43
7162,45
7162,41
7163,44
7163,48
7163,41
7163,43
7165,46
7165,45
7165,41
7165,42
7166,49
7166,53
7166,47
7166,54
7169,66
7169,79
7169,72
7169,96
7177,47
7177,44
7177,48
7177,42
7181,138
7181,74
7181,79
7182,44
7182,42
7182,41
7192,41
7192,43
7192,44
7192,40
7199,39
7199,36
7199,35
7199,38
7202,37
7202,39
7202,37
7202,50
7203,48
7203,42
7203,44
7203,44
7207,50
7207,51
7207,48
7207,50
7208,51
7208,43
7208,47
7208,43
7209,47
7209,44
7209,47
7209,43
7217,38
7217,39
7217,39
7217,36
7218,52
7218,53
7218,49
7218,51
7223,49
7223,53
7223,56
7223,61
7236,45
7236,47
7236,48
7236,50
7244,48
7244,47
7244,45
7244,44
7248,63
7248,64
7248,73
7250,39
7250,39
7250,38
7250,35
7252,93
7252,100
7252,97
7255,39
7255,44
7255,59
7258,42
7258,43
7258,47
7258,42
7263,42
7263,41
7263,42
7268,44
7268,45
7268,42
7276,51
7276,46
7276,48
7276,52
7280,45
7280,49
7280,45
7280,47
7282,39
7282,38
7282,36
7282,37
7287,50
7287,46
7287,47
7287,50
7298,55
7298,50
7298,54
7298,54
7305,53
7305,53
7305,50
7305,50
7306,48
7306,52
7306,49
7306,50
7314,41
7314,45
7314,40
7314,43
7316,79
7316,135
7316,69
7316,74
7319,48
7319,58
7319,51
7319,54
7320,78
7320,70
7320,77
7320,73
7330,47
7330,51
7330,50
7330,48
7332,44
7332,41
7332,50
7332,39
7333,41
7333,41
7333,37
7333,40
7337,46
7337,46
7337,45
7337,53
7342,48
7342,73
7342,69
7342,70
7343,49
7343,52
7343,51
7343,53
7344,47
7344,46
7344,50
7347,46
7347,46
7347,48
7347,48
7349,58
7349,51
7349,47
7349,55
7350,49
7350,51
7350,56
7353,76
7353,67
7353,75
7353,64
7354,91
7354,95
7354,139
7355,78
7355,77
7355,85
7355,83
7356,62
7356,68
7356,63
7372,68
7372,51
7372,50
7372,49
7375,56
7375,55
7375,56
7375,50
7377,61
7377,59
7377,60
7377,59
7378,52
7378,57
7378,48
7378,51
7382,40
7382,42
7382,41
7382,37
7383,40
7383,37
7383,38
7383,37
7384,59
7384,75
7384,61
7384,68
7387,41
7387,33
7387,57
7387,34
7394,41
7394,37
7394,50
7394,39
7404,43
7404,43
7404,38
7411,56
7411,52
7416,82
7416,75
7416,79
7419,47
7419,42
7419,42
7419,42
7424,37
7424,37
7424,34
7424,34
7427,90
7427,84
7427,100
7427,92
7430,43
7430,43
7430,43
7430,40
7458,53
7458,52
7458,51
7460,37
7460,39
7460,35
7471,34
7471,35
7471,33
7471,34
8251,57
8251,96
8251,56
8251,56
8253,34
8253,33
8253,33
8253,37
8264,66
8264,61
8268,58
8268,57
8268,51
8268,59
8269,53
8269,70
8269,73
8275,60
8275,54
8275,57
8277,53
8277,65
8277,59
8289,57
8289,59
8289,56
8289,55
8295,54
8295,118
8295,110
8299,77
8299,77
8299,86
8299,78
8301,51
8301,45
8301,40
8301,42
8302,47
8302,57
8302,60
8302,54
8309,44
8309,47
8309,46
8309,51
8311,59
8311,64
8311,45
8311,69
8316,43
8316,44
8316,47
8316,49
8317,65
8317,57
8317,64
8317,66
8318,61
8318,68
8318,62
8319,60
8319,57
8319,62
8319,68
8322,56
8322,50
8322,40
8322,48
8325,66
8325,65
8325,62
8328,57
8328,52
8332,46
8332,49
8332,54
8332,46
8336,58
8336,59
8336,52
8336,57
8337,72
8337,76
8337,66
8337,76
8338,80
8338,76
8338,78
8338,83
8340,65
8340,66
8340,78
8340,74
8342,39
8342,36
8342,43
8342,39
8343,65
8343,57
8343,57
8343,60
8346,42
8346,45
8346,42
8346,49
8347,57
8347,57
8347,59
8347,51
8353,36
8353,34
8353,36
8353,35
8354,60
8354,63
8354,55
8354,57
8357,57
8357,58
8357,53
8357,54
8358,65
8358,72
8358,72
8358,75
8359,68
8359,70
8359,65
8359,72
8360,36
8360,35
8360,38
8360,35
8361,62
8361,56
8362,75
8362,65
8362,73
8362,77
8364,41
8364,42
8364,42
8366,47
8366,49
8366,47
8366,108
8367,51
